Yr,Month,Day,Hr,Min,Lon,Lat,Mag,Depth
1990,12,7,10,22,-98.21,15.67,4.4,33
1990,12,7,19,43,-98.19,16.29,3.6,12
1990,12,12,0,19,-97.52,15.99,4.5,14
1990,12,12,3,23,-95.78,15.75,4.5,5
1990,12,12,3,37,-95.8,15.69,4.6,14
1990,12,16,22,5,-99.58,16.87,3.3,31
1990,12,22,14,46,-99.61,16.95,3.5,32
1990,12,24,14,40,-99.15,16.66,3.5,32
1990,12,25,2,24,-99.7,16.65,4.5,6
1990,12,25,10,5,-98.27,15.76,4.3,5
1990,12,26,21,59,-99.57,16.5,4.1,5
1991,1,2,9,13,-99,16.54,3.8,10
1991,1,5,8,23,-97.88,15.81,4.7,3
1991,1,6,5,36,-97.67,15.83,4.2,33
1991,1,15,23,41,-98.75,15.95,4.1,8
1991,1,16,20,37,-99.33,16.29,3.6,35
1991,1,19,9,4,-98.02,16.19,4,20
1991,1,25,2,27,-95.89,15.36,4.1,5
1991,1,28,7,45,-97.93,15.57,4.8,11
1991,1,29,13,14,-99.74,16.37,4.3,16
1991,2,6,4,48,-98.88,16.15,4,14
1991,2,6,12,10,-99.65,16.84,3.8,31
1991,2,6,20,46,-98.96,15.93,4.1,18
1991,2,7,9,13,-99.12,15.98,4.3,11
1991,2,8,22,16,-98.2,15.64,4.4,31
1991,2,9,9,44,-98.13,16.03,4.1,7
1991,2,11,11,20,-98.15,16.08,3.9,0
1991,2,12,18,21,-98.24,16.25,4.5,5
1991,2,13,5,27,-98.05,15.85,4,6
1991,2,23,21,22,-95.85,15.62,4,11
1991,2,24,0,8,-98.63,15.76,4.6,24
1991,3,1,7,57,-98.09,16.13,3.9,5
1991,3,2,1,12,-98.09,16.03,3.9,5
1991,3,5,20,48,-98.32,16.03,4.3,6
1991,3,7,4,47,-97.23,16.08,3.7,18
1991,3,17,10,45,-96.78,15.14,4.2,15
1991,3,20,6,55,-98.32,15.81,4.5,16
1991,3,21,22,11,-98.19,16.27,3.7,5
1991,3,22,9,8,-98.14,16.01,4.3,12
1991,3,25,11,39,-97.7,16.49,4.2,5
1991,3,30,5,50,-96.17,15.94,4,8
1991,4,1,3,15,-97.29,15.87,4,14
1991,4,1,7,34,-98.38,16.05,5.5,5
1991,4,1,7,48,-98.21,15.64,4.3,29
1991,4,1,8,2,-98.2,15.73,3.9,7
1991,4,1,9,1,-98.36,15.94,5.1,16
1991,4,1,9,49,-98.31,15.72,4.1,18
1991,4,1,11,34,-98.4,15.78,3.9,28
1991,4,1,12,33,-98.16,15.76,4.5,9
1991,4,1,16,23,-96.3,16.28,4.3,9
1991,4,1,23,41,-98.3,16.34,4.1,5
1991,4,2,5,32,-98.18,16.1,4.1,5
1991,4,2,6,41,-98.06,16.53,3.8,23
1991,4,2,10,17,-98.03,15.88,3.9,13
1991,4,3,5,53,-98.24,15.73,4.1,20
1991,4,3,6,38,-98.19,15.74,4,18
1991,4,5,3,31,-98.22,15.67,4.3,15
1991,4,5,4,6,-98.23,15.56,4.2,7
1991,4,14,4,27,-97.25,15.74,4.4,13
1991,4,14,14,51,-98.28,15.71,4.4,5
1991,4,17,23,32,-97.99,15.9,4.4,5
1991,4,18,8,1,-96.37,16.08,4.9,10
1991,4,19,2,44,-98.33,15.78,4.3,26
1991,4,19,16,36,-98.37,16.06,4,5
1991,4,21,0,34,-98.23,16.35,4.8,12
1991,4,21,7,6,-98.13,16.3,4.2,5
1991,4,21,10,4,-99.15,16.43,4.7,5
